"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25",2,2,4,19.3693850460421,3.71885459278542e-05,0.000144165207439072,"0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25",10
"0x00000000000123685885532dcb685c442dc83126",6,6,12,0,3.85000385000385e-05,0.000402170968070793,"0x00000000000123685885532dcb685c442dc83126",9
"0x66f049111958809841bbe4b81c034da2d953aa0c",8,8,16,0,3.83141762452107e-05,0.000469497440788878,"0x66f049111958809841bbe4b81c034da2d953aa0c",8
"0x06d8aeb52f99f8542429df3009ed26535c22d5aa",1,1,2,2014,3.8918439443745e-08,0.000140449592516922,"0x06d8aeb52f99f8542429df3009ed26535c22d5aa",8
"0x95fc6b626a2f49ad731dabdf507ce7708f671fa7",2,2,4,0,3.8918439443745e-08,8.14204635619198e-05,"0x95fc6b626a2f49ad731dabdf507ce7708f671fa7",12
"0x0efb068354c10c070ddd64a0e8eaf8f054df7e26",14,14,28,22136.3943606379,3.9003073637218e-08,0.000671476858947579,"0x0efb068354c10c070ddd64a0e8eaf8f054df7e26",27
"0xcf2c8f6e2fb0a819056c78cca13429886962defa",2,4,6,10.1705123103483,3.68745160219772e-05,8.14204635619197e-05,"0xcf2c8f6e2fb0a819056c78cca13429886962defa",12
"0xf3fbb2c0a711529ef9b81fe59a5ef5b8f1e0eb27",3,4,7,0,3.83141762452107e-05,0.000257549644606154,"0xf3fbb2c0a711529ef9b81fe59a5ef5b8f1e0eb27",8
"0x6608c14e388a8d5ce635d07c75358d869e9e3bf4",6,4,10,0,3.84186868492835e-05,0.000365856026802283,"0x6608c14e388a8d5ce635d07c75358d869e9e3bf4",4
"0x53105ad20960a842e082c60ef243c8c3c49bf518",1,3,4,2114.1203975784,3.12969454181272e-05,8.97923257470364e-05,"0x53105ad20960a842e082c60ef243c8c3c49bf518",10
"0x358c84faa7f860ab41b93edccb7e64f7eb330bb1",2,10,12,44.004272288936,3.83185806797716e-05,8.14204635619197e-05,"0x358c84faa7f860ab41b93edccb7e64f7eb330bb1",8
"0x1986f4bcc6b78d40e499e928a910dd7bde857734",3,2,5,5076.02535589308,3.79809335713472e-05,0.000150627857589551,"0x1986f4bcc6b78d40e499e928a910dd7bde857734",12
"0xd83410edf02ee6c9f801fc81fdc89f712f84a81e",3,3,6,11.2930194867677,3.83141762452107e-05,0.000123575081171948,"0xd83410edf02ee6c9f801fc81fdc89f712f84a81e",8
"0x2704389cd4c9c4c5865a3ee4b76977b480480004",6,6,12,46.5307680842274,3.85000385000385e-05,0.000275786927955518,"0x2704389cd4c9c4c5865a3ee4b76977b480480004",28
"0x62ed54b8bfb15d1131275473095044cdfaf80355",1,4,5,6039,3.79852617184532e-05,0.000123466830015678,"0x62ed54b8bfb15d1131275473095044cdfaf80355",75
"0xfdf0eade0c4ba947999e7885b60099985347ee7a",6,2,8,236.335390492155,3.65938449152853e-05,0.00032756456157109,"0xfdf0eade0c4ba947999e7885b60099985347ee7a",10
