username,num_roles,content_count
Ernest_of_Gaia,2,2040.0
The Psych Guy,8,1395.0
frogmonkee,1,991.0
angyts 🏴,2,633.0
Sponge,1,493.0
NFThinker🏴,1,487.0
Above Average Joe,4,477.0
hirokennelly.eth 🏴,2,450.0
jordaniza,1,420.0
addamsson,1,348.0
brianl 🏴,7,343.0
Airbayer | Bankless DAO🏴,2,332.0
ManuelMaccou🏴,2,328.0
fin4thepeople,1,272.0
Trewkat,7,255.0
thinkDecade,5,242.0
Liquidiot,7,227.0
Slinkypotato,2,224.0
Ap0ll0517.eth🏴,2,220.0
hashedMae,1,211.0
Ts words,4,210.0
0xLucas,1,198.0
Chrisfcrypto.eth 🏴,2,192.0
oorrnneellaa,6,188.0
EthHunter 🏴,2,180.0
links,2,177.0
Nittra 🐸,2,166.0
McKethanor 🏴,1,165.0
"""omen""",1,161.0
Behold,2,155.0
KenMan   🏴,5,155.0
DavidBankless,1,155.0
FreedomFighter 🏴,1,148.0
Asturias 🏴,6,145.0
ZrowGz,2,134.0
JokerDelMar,1,127.0
Bo | Bankless DAO 🏴,7,125.0
Droste 🏴,1,122.0
Blackfyre,2,122.0
DoubleB 🏴,3,104.0
Mamer,3,95.0
tesa_daa,1,93.0
kbuger,2,92.0
CrumbDumpster,1,87.0
EurekaJohn,1,85.0
Jon Otherbright | BFR & TDGFR,1,78.0
Theophile 🏴,3,77.0
paulDE,1,77.0
"Nakamomo(?, ?)",1,75.0
Cosmic Clancy,2,73.0
"Katarina (3,3)",1,73.0
jalaj719,1,72.0
Sorolla_ 🏴,1,71.0
Adi G,3,68.0
pilkster,1,65.0
RedVan | Bankless DAO 🏴,1,60.0
SchwarzeKatze,1,58.0
Homeless🏴,2,58.0
Tiki,8,52.0
Lowcarb,2,51.0
EddieX,6,50.0
lunarlander,6,47.0
Reinis,1,45.0
SNode,1,44.0
taxpanda,6,44.0
volky 🏴,1,42.0
garywolf,1,41.0
Tayy,3,41.0
Dane,4,40.0
zywwqq,2,40.0
Steff,4,39.0
TheRG,2,39.0
Taiichi,4,38.0
kayla,3,38.0
MZH,1,38.0
Dutchdamage,2,38.0
okiave,6,37.0
alexdw5,1,36.0
MC10,2,36.0
Rox.,1,36.0
📎Ξ,1,35.0
Chaosed,1,34.0
Sinjun,1,34.0
laurΞnt,1,34.0
NeoLogos,2,34.0
Alvo von A,1,34.0
anabelen,2,34.0
Barzul,2,34.0
chuck25,1,33.0
COSMOBURN.eth,1,33.0
kalex1138.eth,1,33.0
JonValjonathan.eth,4,33.0
Lalocripto.eth,4,33.0
hodl,1,33.0
Usua◎ Silver,1,32.0
yacht_tea_Ed,1,32.0
0xJustice,1,32.0
ZimTeemo,1,30.0
mecurza,1,30.0
welovecolors,1,30.0
shadowmonarch.eth🏴,1,29.0
fi_bo,1,29.0
OpenFi | Bankless DAO 🏴,1,29.0
blackwhite,1,28.0
EricCMack,4,27.0
flowscience,5,27.0
Bripe Juicero,7,27.0
stkr4lv,2,27.0
PENG 🔺🌝🌖⚡🏴,1,27.0
Tschentsch,1,26.0
joaoh9,3,26.0
Kriti,2,26.0
DJ_FloydoBlyatt,1,26.0
Audy922,1,26.0
brydeadhead,1,26.0
metamynx,6,26.0
Kez Legs,2,25.0
theoxherder.eth 🏴,1,25.0
Danae 🏴,1,24.0
gioser🏴,4,23.0
Miao,6,23.0
chkaloon,1,22.0
husker.eth,1,22.0
alcibiades.eth,1,22.0
Rock Lobstah,4,22.0
Joel,1,22.0
wolfehr,2,22.0
hjulorius,1,21.0
TohlHouseCookie,1,21.0
ttdegg123,5,21.0
jf52967091,5,21.0
blitzio,3,21.0
nicoconi🏴,2,21.0
GhostisAave,7,20.0
Muninn,5,20.0
emnul.eth,5,20.0
terumask,4,19.0
CharlieB,1,19.0
cryptodad,2,19.0
James | Fractional Finance,4,19.0
fanriver,2,19.0
rajkaria,6,18.0
Romko,3,18.0
Gabion18,6,18.0
Art By Ashley,2,18.0
osk,6,17.0
ivan7538🏴,4,17.0
sebastiandm,2,17.0
sergioarizav.eth,1,16.0
cyclist,4,16.0
Oxus,3,16.0
ebert,1,16.0
thebig,5,15.0
David (please DYOR...),2,15.0
Gandsy,6,15.0
maxluck.eth,5,15.0
AdvantageBlockchain,1,15.0
laflame,1,14.0
manas,1,14.0
BorisSchickedanz.eth,1,14.0
accua,1,14.0
dill.eth,1,14.0
thiaoouba,1,14.0
Bliss,1,13.0
0xJoshua,1,13.0
Henrik,5,13.0
ffstrauf | UTC +11,1,13.0
AZ,6,13.0
Reese,4,13.0
unkfunk,1,13.0
MantisClone,1,12.0
yogesh,4,12.0
0xAnimal | POAP Master,1,12.0
duke.eth,1,12.0
newfuture.eth,6,12.0
komuzchu,4,12.0
junglerush.eth 🏴,1,11.0
icaroavelar,1,11.0
tmk1221,1,11.0
MinimalGravitas 🏴,1,11.0
sxi,3,11.0
bergastroka,1,11.0
SAV,1,11.0
QZ,5,11.0
Ell,1,11.0
Danizord,1,11.0
louis - albiverse,4,10.0
mgoesdistance.eth,1,10.0
Jaydao🏴,1,10.0
jdubbs1381,5,10.0
pureresearch,1,10.0
bfa,5,10.0
ChunLi888,6,10.0
rach.el,1,10.0
kkaminsk 🏴,2,10.0
Timigraphicks,3,10.0
joey_magia 🏴,1,9.0
calavera,1,9.0
emozilla,1,9.0
chriscord,1,9.0
JoshuaKayce,1,9.0
Lizt,1,9.0
laopaoeth,2,9.0
Burtrico,1,9.0
Emgrazie,3,9.0
Guy🏴,1,9.0
anna-marie,1,9.0
ChrisL,6,9.0
EseTeLopez,1,9.0
Etti,4,8.0
DiscoDancin,2,8.0
torgostheme,2,8.0
AliceolaCrypto,1,8.0
DaddyMatty,3,8.0
EGR_wordlife,4,8.0
Robb,1,8.0
theban,2,8.0
jaygfxtribe,4,8.0
benlxyz,2,8.0
GalPe,1,8.0
salova,2,8.0
astoneta,6,8.0
Ines,2,8.0
crypto zombie,1,8.0
Daoist,5,8.0
Jazzy-chill,2,8.0
Binn,6,8.0
Ensi.eth,3,8.0
TheWeeknd08,4,7.0
Killmonger,5,7.0
c99,1,7.0
T3r_r0fo_R8m,1,7.0
McKay,5,7.0
Zilla_Don,2,7.0
Ssasho0 🏴,2,7.0
boris_be,1,7.0
Nostrodamu5,5,7.0
tomtranmer - tranmer.eth,4,7.0
Diego_EtherAddict,4,7.0
Mads,2,7.0
FierceGull,4,7.0
Tunsky107.eth,1,7.0
Culture Clap,3,7.0
kohei,5,7.0
CryptoAccord,1,7.0
aegontarg,5,7.0
Bachan,1,7.0
shrimple,3,7.0
Mark O'Sullivan,4,7.0
xdamman,5,7.0
Raf,5,7.0
Tertius,1,6.0
WindWhile,6,6.0
reeves,1,6.0
Coffee & Crypto,1,6.0
twoeggs,3,6.0
bayardthewolf,1,6.0
slothkins,1,6.0
rocknstones,6,6.0
Andruno,5,6.0
patman needs no robin,1,6.0
iGolle,1,6.0
3lit3,6,6.0
Kaustubh,6,6.0
ovaaq,2,6.0
andyszy,1,6.0
Alex_S,1,6.0
anita,4,6.0
TimBalabuch.Ξth,1,6.0
Uppercut,3,6.0
aryanjain,1,6.0
RurikFire,2,6.0
DugaG23,4,6.0
Suloo,4,6.0
