,id,voter,created,__typename,choice.3,choice.4,choice.5,choice.6,choice.7,proposal.id,proposal.space.id,choice.2,choice.1
0,0x3d887c23f894455ea744022fe55f3b638aae3ec208a35512879beeae941d8be6,0x4A6737Da9668D09aCE702c3ff5e0dA33a84d28F7,1647993154,Vote,1.0,1.0,1.0,1.0,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
1,0x915a87e6f44b50abb06ef55277fd308146fd83b20d65bb1f84d66e8479157c8b,0x540c44FF7B71F2487Cd11aaF53aeC1a85BFE8f7a,1647990901,Vote,5.0,40.0,,5.0,50.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
2,0x96c8ce37e9bacc755d837540a4140a84917ddbbf15f1817060dc01540785702c,0xAf5c595eaA0ED462A75157513D99e1E3B0D1A570,1647986560,Vote,1.0,,2.0,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
3,0x5ab41a959493b21ec0b69439584b36002d7af5d27c1c5a8a92f71be65ab4521d,0x7d4D74853ED81b1f01bf0a5943Fe4b9459AFA036,1647985443,Vote,1.0,1.0,2.0,,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
4,0x28cb75baac84568a1a85811e1404a254977ca9371ad0f6389fd982aef5fac4aa,0x82c384FD188BFb22981B9922c67ae21A4493bF28,1647984979,Vote,,,,100.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
5,0x1ebf794eaa7299388654df1bcaa9157f97d854ab3d6d92fe3522accdd372fc3c,0x40DA94690068a123399c1BDEef3220685EcD8940,1647983816,Vote,1.0,1.0,1.0,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
6,0x0b1035cd2ec9300cb7b37684051c64f8da2212daaf5956cafc42edea275a94d9,0xb5fd9d86826697ddA47A5045725406b3B1758c40,1647983762,Vote,1.0,1.0,1.0,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,
7,QmcbYytcWmrS31drA4RevBbq5g2vLNw6xtzP8XRk5QRQAN,0x528591159Ff78e91FB760b73266bc65CB1943072,1647982644,Vote,1.0,2.0,3.0,1.0,2.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
8,0xa70002a65eefbb28d53faaf3feaa79083003653be62272d6b488ef7393fb7af8,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,1647981957,Vote,,,,1.0,,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
9,0xe85a1cdd30f21c3770482c1b5ca4d5e6d35d9c723eb27e6e9b859a8b2857c470,0x338f603755412f64eAb9A3FE9D2873e0d8C536d8,1647980663,Vote,3.0,1.0,1.0,1.0,2.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,1.0,1.0
10,0xcddde9348c8b7e08d25f016c0df03ad15c1a0620a6533e2161705db93ffbf3ba,0x61f1EC7720Bf935E6dcC03eBCFd0E01774C563E2,1647980533,Vote,,,,,3.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
11,0xf494bfdeedf99b44f5e1bda36ac47a576fb96044fe597ffdede6cd2e99010cf8,0x97667E07eef1eFe254d37a13de221425740E3774,1647979208,Vote,,,,,100.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
12,0x7d795b664eebaa2f1278cfceb4def029e0add0f3b77c4ec0400a6d6ce36368d0,0x1850aD6dEecFE06dD9D001b683FE867301C92326,1647979020,Vote,,,,,1.0,0xb93ef13c7f48841d50191124a6e76c3bdd099edc501b6325a495ee70db77fe5a,banklessvault.eth,,
