,id,fancyId,name,year,createdAt
0,2220,bankless-dao-community-call-1-2021,Bankless DAO Community Call #1,2021,-1
1,2346,bankless-dao-community-call-2-2021,Bankless DAO Community Call #2,2021,-1
2,2501,bankless-dao-community-call-3-2021,Bankless DAO Community Call #3,2021,-1
3,2655,bankless-dao-community-call-4-2021,Bankless DAO Community Call #4,2021,-1
4,2867,bankless-dao-community-call-5-2021,Bankless DAO Community Call #5,2021,-1
5,3155,bankless-dao-community-call-6-2021,Bankless DAO Community Call #6,2021,-1
6,3400,bankless-dao-community-call-7-2021,Bankless DAO Community Call #7,2021,-1
7,3642,bankless-dao-community-call-s1c1-2021,Bankless DAO Community Call S1C1,2021,-1
8,3925,bankless-dao-community-call-s1c2-2021,Bankless DAO Community Call S1C2,2021,-1
9,4203,bankless-dao-community-call-s1c3-2021,Bankless DAO Community Call S1C3,2021,-1
10,4498,bankless-dao-community-call-s1c4-2021,Bankless DAO Community Call S1C4,2021,-1
11,4824,bankless-dao-community-call-s1c5-2021,Bankless DAO Community Call S1C5,2021,-1
12,5253,bankless-dao-community-call-s1c6-2021,Bankless DAO Community Call S1C6,2021,-1
13,5570,bankless-dao-community-call-s1c7-2021,Bankless DAO Community Call S1C7,2021,-1
14,5572,bankless-dao-community-call-s1c8-2021,Bankless DAO Community Call S1C8,2021,-1
15,6451,bankless-dao-community-call-s1c9-2021,Bankless DAO Community Call S1C9,2021,-1
16,6837,bankless-dao-community-call-s1c10-2021,Bankless DAO Community Call S1C10,2021,-1
17,6838,bankless-dao-community-call-s1c11-2021,Bankless DAO Community Call S1C11,2021,-1
18,6839,bankless-dao-community-call-s1c12-2021,Bankless DAO Community Call S1C12,2021,-1
19,6841,bankless-dao-community-call-s1c13-2021,Bankless DAO Community Call S1C13,2021,-1
20,9141,bankless-dao-community-call-participant-2021,Bankless DAO Community Call Participant,2021,-1
21,9174,bankless-dao-community-call-s1c14-2021,Bankless DAO Community Call S1C14,2021,-1
22,10722,bankless-dao-community-call-16-2021,Bankless DAO Community Call #16,2021,-1
23,11236,bankless-dao-community-call-17-2021,Bankless DAO Community Call #17,2021,-1
24,12043,bankless-dao-community-call-25-2021,Bankless DAO Community Call #25,2021,-1
25,12810,bankless-dao-community-call-19-2021,Bankless DAO Community Call #19,2021,-1
26,12833,bankless-dao-community-call-26-2021,Bankless DAO Community Call #26,2021,-1
27,13519,bankless-dao-community-call-27-2021,Bankless DAO Community Call #27,2021,-1
