"ID","Owner","oktal.eth","Claim Date","Tx Count","Power"
"227519","0x53c31293c544bc69898f90009ce27980d7574fa2","shatt.eth","5/14/2021","2","96"
"227520","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","seangeorge.eth","5/14/2021","1","36"
"227521","0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2","pluck.argent.xyz","5/14/2021","1","5"
"227522","0xc220e4c353bd27b6514a9be0670baffcc6a14480","","5/14/2021","1","8"
"227524","0x47d6ec9df712daa0ffde287a8d346fb038ef407a","kamps.eth","5/14/2021","1","2"
"227525","0x9311d45341b284900711f9bc155ce2e381248c29","shatt.eth","5/14/2021","1","6"
"227526","0xe01a97fc4607a388a41626d5e039fdecbfc6acd9","","5/14/2021","1","8"
"227527","0x57c924feb43e30a08233661f8782d10e378cd6f4","abvavgjoe.eth","5/14/2021","1","4"
"227528","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","5/14/2021","1","16"
"227530","0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf","","5/14/2021","1","32"
"227531","0x705360aa5ee97311e91c0375a27a18527538e3a4","","6/4/2021","1","4"
"227532","0x3d3fc58efef259734624ad1103813573a20210c1","","5/14/2021","1","2"
"227533","0x83111e1888c1e49e8703e248edeaa34ef868a1de","","5/14/2021","1","18"
"227534","0xae059b2bc5397ebfbf523873545edcae340bee5a","","5/14/2021","1","19"
"227535","0x4f33a4007cb951852c5a47dead2f2a1549a738bf","siddhearta.eth","5/14/2021","1","5"
"227536","0x7b3bddf3af1d6e160d57887ff4516cb3c3add495","","5/14/2021","1","11"
"227537","0x2fc5444d3818ebf2914541a9b7e15b37ae29bdc2","","5/14/2021","1","5"
"227538","0x87ec261ba759ca3d66fcd8199f6fb9b36dc4badd","","5/14/2021","1","4"
"227539","0x2f45724d7e384b38d5c97206e78470544304887f","","5/14/2021","1","8"
"227541","0xe93fb6784e7cec8fb8d283a70295df714f3c0db7","lunag.eth","5/14/2021","1","6"
"227543","0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f","jameswmontgomery.eth","5/14/2021","1","19"
"227544","0xdad3fd6c9fb0c2b56228e58ae191b62bfb1bec83","patey.eth","5/14/2021","1","22"
"227545","0xe47776747226b3ab7460a1ec72bafe530c3c8cc2","","5/14/2021","1","2"
"227546","0x2247772b13194424010404812bdefd7025bffec3","seangeorge.eth","5/14/2021","1","4"
"227547","0xf712f6fdc2f0385041e6ad2f73774d7cd8f2b278","","5/14/2021","1","4"
"227549","0x0c93a5afddc83e7db7e61c6699f9046afb96e1a8","","5/14/2021","1","4"
"227550","0x5cdb0039db97409243ca00ca70be8616fba322a0","","5/14/2021","1","27"
"227551","0xee6b92d023243a36a93661e75d5760da57121d91","reneil.eth","5/14/2021","1","6"
"227552","0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1","jamescarnley.eth","5/14/2021","1","38"
"227553","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","","5/14/2021","1","140"
"227554","0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7","jp2step.eth","5/14/2021","1","15"
"227555","0x5d96d8f927a7bf5f342017caf70039b9e9cfc216","","5/14/2021","1","3"
"227556","0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5","abvavgjoe.eth","5/17/2021","1","3"
"227557","0xb871d6b530ee3c21e8b098bc99f39bff5c0dcf32","paulapivat.eth","5/14/2021","1","5"
"227558","0xfc783f00ad1eb798cda2deece3bba749bf783539","grendel.eth","5/14/2021","1","6"
"227559","0xccd22ac32ee87ce05dfbc6abcf37bc69bdea6a47","","5/14/2021","1","6"
"227560","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","","5/14/2021","1","19"
"227561","0x2b18233fb4306a705471a7271c018ce0ff7dd754","junglerush.eth","5/14/2021","1","5"
"227562","0xa29fddec9c36bdd680d3f5867735ff8949a7f15d","dumgen.eth","5/14/2021","1","5"
"227563","0x0c5dcfd02953f0b5ff4a2971fc2d80dddea9ab01","","5/14/2021","1","5"
"227564","0x0b86c7d3c790634546b04b5ee3327c72861c7ec6","","5/14/2021","1","2"
"227566","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","5/14/2021","1","11"
"227567","0xe4a7780e57c1bae4f303c60a67ccbda221667bbb","","5/14/2021","1","1"
"227568","0x800d2e35a0b9ba841db838ea4d20723d37bd2c52","","5/14/2021","1","7"
"227569","0x1aa963e68cfde4dab1df1e15e70b2bb4103c4848","","5/14/2021","1","4"
"227570","0x6e3e3680b98eea62dad3b9b248dcfd3347940e8b","","5/14/2021","1","2"
"227571","0xb7ad24ef67e01c5a353477abf81e867cab48a132","carlosian.eth","5/16/2021","1","3"
"227572","0x67e867607d16c010bee44925e0217814bbebd801","mehdiag.eth","5/14/2021","1","6"
"227573","0xeb5806ffcf9a1e9b24876b68dab80c4dd7ef42ec","","5/14/2021","1","5"
"227574","0x175256f85a43d02a252c3e2b953fa8efdff9972b","","5/14/2021","1","6"
"227575","0x8e1f13a08012f34dc8750ee34b78e90b5616f194","klinko.eth","5/14/2021","1","2"
"227576","0x283d37e46f7817610fa03fe8ece875a2897a8df9","seanpatrick.eth","5/14/2021","1","8"
"227577","0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6","","5/14/2021","1","9"
"227578","0xedd049c56b804bcdbf7e704cc312491e3d50485a","paulapivat.eth","5/14/2021","1","7"
"227579","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","","5/14/2021","1","9"
"227580","0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7","gamble.gimmethe.eth","5/14/2021","1","7"
"227581","0x2b8e903457a7573822570e5bf70e7059a7821375","","5/14/2021","1","4"
"227582","0x500f736f569b801e12cbdd5d8116ea0717512520","","5/14/2021","1","3"
"227583","0xfb18fd31af65737e446f30c7c35375e53a4ce569","","5/14/2021","1","4"
"227584","0x7e86d59a71189cce55f692b14ef4bed389ab2712","","5/14/2021","1","3"
"227585","0xb6ac0341fcf3fb507a8208d34a97f13779e1393d","blitzio.eth","5/14/2021","1","8"
"227586","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","","5/14/2021","1","9"
"227587","0x31562d5959b37e39702c0f94d06ef155489d9359","","5/14/2021","1","10"
"227588","0x42d29e6fffef7d2df66ba652242eeff2b01822b1","jamescarnley.eth","5/14/2021","1","3"
"227589","0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb","","5/14/2021","1","26"
"227590","0xa5ec7cd10ed5c3c2d9e19aedda47fe99f676234f","","5/14/2021","1","5"
"227591","0xfb4974917850d9d82d812dd49221eb0b4c2f240e","dyslexiccyborg.eth","5/14/2021","1","4"
"227592","0x1b4bcca2636f7106207813f9e07d80d861baa705","mantisdatasolutions.eth","5/14/2021","1","6"
"227593","0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274","","5/14/2021","1","3"
"227594","0x6f00ad0238e20646e3b4e87dc9c8319649156834","","5/14/2021","1","5"
"227595","0xd2eca69f59fa551c902bb34ce4e889b3bb635c4a","","5/14/2021","1","5"
"227596","0x970e2b0bbb3cc2708cf2de5a7d8c103b1220e759","","5/14/2021","1","3"
"227597","0x421e4a2a857f7d7da4fbd96d6268baf8e5256eec","","5/14/2021","1","7"
"227598","0x0e16fa45c87caf641822e1c55b36dec5995209f3","nonsensetwice.eth","5/14/2021","1","4"
"227599","0xe4fb2c5bd24fb3c344b98a5f51010eaaba47c9e4","laurencedavies.eth","5/14/2021","1","5"
"227600","0x164ba6d1e6dd5f937908c34137d271ea3852c214","","5/14/2021","1","9"
"227601","0x0ba1a18d9642a2feec055d901fcbb204037abb39","badboys.eth","5/14/2021","1","2"
"227602","0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478","","5/14/2021","1","5"
"227604","0x7876c01dae77ed92c4184a8ad276f522946408ff","tonon.eth","5/14/2021","1","3"
"227605","0x09ea2fe741ae319207c68738a3275e61ff56fb96","","5/14/2021","1","2"
"227606","0xff44611abc5c62ff3c8c61f67769330c9a466a93","sammybauch.eth","5/14/2021","1","7"
"227607","0x0090720fed7fed66ed658118b7b3bb0189d3a495","","5/14/2021","1","4"
"227608","0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9","","5/16/2021","1","6"
"227609","0x2bb1647c7472e8cc7dde09a80efe18cf9599d497","","5/14/2021","1","15"
"227610","0x47162e548d00ec046e0205c1addbf9f976f6c418","","5/14/2021","1","5"
"227611","0xddc22fbc4559feff07fb35cda96a636aebbd2aa4","bealers.eth","5/14/2021","1","8"
"227612","0x170c3d36b7b6fa957c8b454c416f66c4085971c7","","5/14/2021","1","3"
"227615","0x80fd264d44712fef8771675cea1bf24656c6b37c","banked.eth","5/14/2021","1","4"
"227617","0x7ec6ffd8c5d5620903a22ce7a8b37d62e0e6559a","","5/14/2021","1","5"
"227619","0x6329a5fc0fd3c9fd1e1a480829e73b714f8ea212","siddhearta.eth","5/14/2021","1","4"
"227620","0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9","greggarner.eth","5/14/2021","1","8"
"227621","0xbde6aa3c89db77002df747776d2830cf9090d94d","reiniskalnins.eth","5/14/2021","1","3"
"227622","0x4c2f62d6f34388a8d134907fea723e7ed902fe22","seanpatrick.eth","5/14/2021","1","18"
"227624","0x3136043b0a2278569fcac322b7accf1395281b8f","bealers.eth","5/14/2021","1","2"
"227625","0xe64ddadbdbd11b21112107ac2d0cfb978bdacea7","","5/14/2021","1","5"
"227626","0x32dbc2201d6804b743e353fbbcc767598ba56901","","5/14/2021","1","2"
"227627","0x6222cedf294390d754c10065b31117d856b22ad5","","5/14/2021","1","4"
"227629","0x7bad2138b818079db0bc7df5185b6bae9589370d","bobeglz.eth","5/14/2021","1","6"
"227631","0xafa6f7a00e089059db60268ad230af5e311c440c","reiniskalnins.eth","5/14/2021","1","16"
"227632","0x0a9ccba894168aaaa03f03753f631d0a902303d7","centrocapital.eth","5/14/2021","1","7"
"227634","0x1d1c4379c5dca8bdc0e7de6dd58948c439b3bc0b","","5/14/2021","1","2"
"227638","0xfda01b765ed17bd971e970a24c568513baac43ed","","5/19/2021","1","7"
"227641","0xefb263f9b862eb538ad980f5a2b2331cc70053c2","","5/14/2021","1","3"
"227643","0xeba9717a3341e5750be43256c91ae068fdb01a27","tonon.eth","5/14/2021","1","6"
"227644","0xb3eafb9f40b8e568b998324dcdfc73b5eabb39b7","0xpaul.eth","5/14/2021","1","6"
"227647","0x9daaad3989d9d3149a8620a8ef8ca5db2cddfc38","activeincome.eth","5/14/2021","1","3"
"227651","0xe5c29f92e742e9ac213f2737dbe1beb6ab259832","","5/14/2021","1","4"
"227652","0x81d3d66054c552b520f4b9ad73238eca0b8c9977","","5/14/2021","1","6"
"227658","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","thisiscarlos.eth","5/14/2021","1","5"
"227660","0x1df428833f2c9fb1ef098754e5d710432450d706","","5/14/2021","1","65"
"227662","0xa0a0159f73f06613032a815404fc0f2f2dd20868","pacpac.eth","5/14/2021","1","2"
"227664","0x4194ce73ac3fbbece8ffa878c2b5a8c90333e724","","5/14/2021","1","8"
"227671","0x4f58bc39476aa9e5be7127c9ea80a7da917578d9","","5/14/2021","1","4"
"227678","0xda93c8286c47990e922406016f7eeddbe41d9702","","5/14/2021","1","6"
"227681","0xdc5b61342b89d7b8c634117206fdda95cd5e7525","","5/14/2021","1","4"
"227682","0x3839acf1ee7699d1f46b1be840d8ad8317fdf757","didierkrux.eth","5/14/2021","1","10"
"227683","0x80fcfdd18c0b83a1827f5964d4d1b214db16adc5","brinky.eth","5/14/2021","1","2"
"227689","0xcaf6a42ec6e3574de56c690bbbc42aa898058bf2","","5/14/2021","1","6"
"227695","0xac19baabe85dd01b94fe1528c24a9472a4d9b583","","5/14/2021","1","5"
"227696","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","nftunes.eth","5/14/2021","1","6"
"227698","0x144606aeab3e5e4544cdb2e5f89d9e988bb6ce77","","5/14/2021","1","3"
"227704","0x0a4de625aa7624dd72cb09a41a6e52fce1993310","","5/14/2021","1","12"
"227709","0x13aaf0994ffdb35bf32ddaf6e18b6efdd25a0808","banked.eth","5/14/2021","1","6"
"227712","0xfdaae0c5a7a56c8265b9f86cf8cd934a494e3733","","5/14/2021","1","11"
"227714","0x5eee4c61d5e63486dcd3eb4ad445403c9e1bb413","","5/14/2021","1","6"
"227715","0xe524d6514f5c6c91796d223c3310ce211bc749c0","tcobb.eth","5/14/2021","1","3"
"227716","0x2346909dbf46838f81ccb0d8a5d19f4b8fc042ee","","5/14/2021","1","3"
"227719","0x6916683ab95b955bb73caf8bab92700a2469d758","thegoodnunes.eth","5/14/2021","1","4"
"227721","0xbef33200077a2a2ac3613ab92488b41ffc39ace2","","5/14/2021","1","8"
"227723","0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6","","5/14/2021","1","5"
"227726","0x451296049b36e9f07394b9c6c6d325bd6ac6127f","seann.eth","5/14/2021","1","6"
"227731","0x70d3d73eb2de714ec307889f277728ddde1798c0","","5/14/2021","1","5"
"227733","0xe6c421cdea9b3c2fc3e928d98125c1e35cabedb9","","5/14/2021","1","2"
"227734","0x0b11bb088ab8d25e213d773f4bbfd49c2ccd71a6","","5/14/2021","1","4"
"227739","0x44278bdb69b2209461ff04289dec7f9d8c05c014","","5/14/2021","1","3"
"227741","0xc35b4c096d7b412ca1fece0d94ec747424892bc2","otherbright.eth","5/14/2021","1","2"
"227745","0xb48d6c33a96f5519c82569b478fcd723b3a94a2a","","5/14/2021","1","3"
"227746","0x6e1e29021e03070789f5e163655e451cbd40c333","nanexcool.eth","5/14/2021","1","1"
"227754","0xdc99de2b50984269d5dd976766cad8d9eb9cff94","afroviking.eth","5/14/2021","1","24"
"227762","0x192420795e6a2c80c4a90f8a380d792145985f27","","5/14/2021","1","59"
"227765","0x4d06bd93d38226c6b00c59a3525145cbf112b6e1","rondo.eth","5/14/2021","1","13"
"227768","0xe00dca2356e12932286ef8e55a622d09aed3cea7","ironworker.eth","5/14/2021","1","18"
"227769","0xdc47265ae06b6896c3fecf85e4a86a19ba08f279","simonas.eth","5/14/2021","1","26"
"227771","0x19711cd19e609febdbf607960220898268b7e24b","shocktop.eth","5/16/2021","1","3"
"227774","0x1f4a01fea6a204cd5bf7461edcbd820e1143498d","","5/14/2021","1","44"
"227775","0x4dd1cacb51e38b5bdfb400c7da828181b3c12aa0","wolf.eth","5/14/2021","1","11"
"227777","0xb09861246e4149afa18581449c0bb6d4f56bfee3","pugcity.eth","5/14/2021","1","9"
"227782","0x981d9f8173c09842677f89696898d5b93a999d38","omniman.eth","5/14/2021","1","27"
"227794","0x2ad550206dc4fc17a740e37306298d5b9238c162","forager.eth","5/14/2021","1","53"
"227935","0x208e3ed55144371f318824a48f8e9d68fa38b9c0","moran.eth","5/15/2021","1","4"
"229471","0x9201d226ae3abf32d4fea7b4fa9068ce1c4a598e","","5/15/2021","1","3"
