ID,Owner,Claim Date,Tx Count,Power
339899,0x5eee4c61d5e63486dcd3eb4ad445403c9e1bb413,6/11/2021,1,7
339901,0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f,6/11/2021,1,20
339902,0x31562d5959b37e39702c0f94d06ef155489d9359,6/11/2021,1,12
339903,0x06dc0cbf44eed256c5975210095be703504a4541,6/11/2021,1,89
339905,0xc220e4c353bd27b6514a9be0670baffcc6a14480,6/11/2021,1,10
339906,0x540c44ff7b71f2487cd11aaf53aec1a85bfe8f7a,6/11/2021,1,5
339907,0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8,6/11/2021,1,5
339908,0x856a6b90c32bb4b27565660085bbcf3a45aa5172,6/11/2021,1,50
339909,0x1324bb978fea9864a0dac2eb83c9def4ab426d40,6/11/2021,1,3
339910,0xbd19a3f0a9cace18513a1e2863d648d13975cb30,6/11/2021,1,17
339911,0x59e7cce8bfa333ab4f1ed7f054a3510bef6041e7,6/11/2021,1,6
339912,0x6a58e5864e0fc7da7489ca3a9613c3492b2a9842,6/11/2021,1,4
339913,0x59d6779eca6c91ed7679e261b54299b5155eadf0,6/11/2021,1,7
339914,0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7,6/11/2021,1,19
339915,0x6b5e2cd96bd6038bf28e10cf21f7e67805259715,6/11/2021,1,12
339916,0xf8adf12348f702080ca79ae8d2db6d0c658f878a,6/11/2021,1,5
339917,0x6fec6cb90d4bc025d5249f299d640d66fcbfb6eb,6/11/2021,1,27
339918,0xf133b16add084cb99a4915d589a2c43c475ba068,6/11/2021,1,3
339920,0xfd2a31a8a19f747ec416cdc46ffc432da366073a,6/11/2021,1,7
339921,0x41eff4e547090fbd310099fe13d18069c65dfe61,6/11/2021,1,5
339922,0xe93fb6784e7cec8fb8d283a70295df714f3c0db7,6/11/2021,1,7
339923,0x0a9ccba894168aaaa03f03753f631d0a902303d7,6/11/2021,1,8
339924,0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea,6/11/2021,1,22
339925,0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,6/11/2021,1,40
339926,0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781,6/11/2021,1,11
339927,0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,6/11/2021,1,143
339928,0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab,6/11/2021,1,6
339929,0xe4067ed66738dbdc7b8917703c8c380d898033f8,6/11/2021,1,8
339930,0x50017fc607da965b6dd12f61c8a6560dfe2df927,6/11/2021,1,13
339931,0x53c31293c544bc69898f90009ce27980d7574fa2,6/11/2021,1,107
339932,0x0a4de625aa7624dd72cb09a41a6e52fce1993310,6/11/2021,1,13
339933,0x66fb20f5d6a4ea8b1aed0b23a36fd80bef7a33c2,6/11/2021,1,6
339934,0xafa6f7a00e089059db60268ad230af5e311c440c,6/11/2021,1,18
339935,0xc6317e94699c7f4b10ff27b4d16ff90aa0a95bc6,6/11/2021,1,10
339936,0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,6/11/2021,1,10
339938,0x9311d45341b284900711f9bc155ce2e381248c29,6/11/2021,1,7
339939,0xfda01b765ed17bd971e970a24c568513baac43ed,6/11/2021,1,8
339940,0x61323c5c6696fde1d334fee5f49f1fac8781d0cf,6/11/2021,1,84
339941,0x03d69800ac2469fcefc3f21d2d93ed2994a7b1ce,6/11/2021,1,3
339942,0x4ab32d5bf6ec67d7748d9f24394b527c1f917154,6/11/2021,1,3
339943,0xab8a30f98d36e4e183ebc7ebd3f65f0f8475a9fd,6/11/2021,1,7
339944,0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1,6/11/2021,1,3
339945,0xe729986a4b0aec7f13321c9376f1b6c7ac4f8585,6/11/2021,1,133
339946,0x1809754df5ac133a1cc7d4eaf45ed38cf9b39ec8,6/11/2021,1,100
339947,0xa9eb52b347bc76f95745a92dd1e1c3986bcb1e2c,6/11/2021,1,8
339948,0x73641ee05a9d6a8a23d3188ea13b690a078eac05,6/11/2021,1,10
339949,0x261c8a9c5642abc0df4600b348b6ad28492507af,6/11/2021,1,2
339950,0x2f4e6674b0a2a7443bc0c890cdc8a5b5a9e6ab35,6/11/2021,1,3
339951,0x8039394aa31d043b603482500eab7377f5e0573f,6/11/2021,1,9
339952,0x648d02a62469a3dc52cc340843b408d519c38831,6/11/2021,1,4
339953,0x7b3bddf3af1d6e160d57887ff4516cb3c3add495,6/11/2021,1,12
339954,0xfc783f00ad1eb798cda2deece3bba749bf783539,6/11/2021,1,7
339955,0xd83551b29d0da46c9b6d105ef359e23aaf46e764,6/11/2021,1,3
339956,0x85e41d90d865101bf78567446e2e24ecd9389349,6/11/2021,1,3
339957,0x1fbb06e5df7479be3b021cdea3271c61235ff1d5,6/11/2021,1,8
339958,0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003,6/11/2021,1,6
339959,0xeba9717a3341e5750be43256c91ae068fdb01a27,6/11/2021,1,7
339960,0x66fda6b697155fad61694713f4d6b0c02736e2a3,6/11/2021,1,72
339961,0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3,6/11/2021,1,7
339962,0x2397d082ee03799e43923f3cd4da3188a0529bbd,6/11/2021,1,8
339964,0xccd22ac32ee87ce05dfbc6abcf37bc69bdea6a47,6/11/2021,1,7
339965,0xb79411ca5481024f3d176135e96c96e4046661d2,6/11/2021,1,5
339966,0xcabc8491816d5fa9f141c722fd8a08f2fd538333,6/11/2021,1,3
339967,0x543b65d285d708b6f23d667a0cc554fb22b458d7,6/11/2021,1,90
339968,0x7a5ec1f07e30ae65ed1daf82141546896535203a,6/11/2021,1,28
339969,0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d,6/11/2021,1,4
339970,0x6f00ad0238e20646e3b4e87dc9c8319649156834,6/11/2021,1,6
339972,0xe14016d61f1e784f49c2bfd27f5f1a0155d0d4d5,6/11/2021,1,3
339973,0x1b4bcca2636f7106207813f9e07d80d861baa705,6/11/2021,1,7
339974,0x4c41f7201552487a55c623f8a45694d9f88c2b81,6/11/2021,1,237
339975,0x23db246031fd6f4e81b0814e9c1dc0901a18da2d,6/11/2021,1,19
339976,0x6fadd14635ced43a8c2eaf11894d2771524ac2c2,6/11/2021,1,14
339978,0xe68593fbd0838398b413606f2e8099474b97da86,6/11/2021,1,3
339979,0x4f8c2d5397262653cd8956cb977a0ba3660210c7,6/11/2021,1,3
339980,0x9f16fc2783559d833498bc018eee9acff1ab79dc,6/11/2021,1,37
339981,0x73df3559f3224f85258c160d3e17bdb9d6288ff4,6/11/2021,1,7
339982,0x2c84d8a2ffb283d295de6eb5287a2addda51b6ec,6/11/2021,1,3
