"ID","Collection","ENS","Minting Date","Tx Count","Power"
"439011","0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e","","7/2/2021","1","88"
"439012","0xb464ca834796272e08dc6460940b281b046a2cee","","7/2/2021","1","15"
"439013","0x73df3559f3224f85258c160d3e17bdb9d6288ff4","","7/2/2021","1","13"
"439014","0xac19baabe85dd01b94fe1528c24a9472a4d9b583","","7/2/2021","1","11"
"439015","0xe71efd5865a42cb0f23146dc8e056dba4e67e9b7","","7/2/2021","1","55"
"439016","0x6b5e2cd96bd6038bf28e10cf21f7e67805259715","","7/2/2021","1","18"
"439017","0xbd19a3f0a9cace18513a1e2863d648d13975cb30","","7/2/2021","1","35"
"439018","0x2d1e7b6e6284409e16991de76d2a82847a7d61c5","","7/2/2021","1","30"
"439019","0x03d69800ac2469fcefc3f21d2d93ed2994a7b1ce","","7/2/2021","1","13"
"439020","0xc220e4c353bd27b6514a9be0670baffcc6a14480","","7/2/2021","1","17"
"439021","0xfda01b765ed17bd971e970a24c568513baac43ed","","7/2/2021","1","14"
"439022","0xae91cb00c413a8d6089ba0bc8bf66fba47a912ea","","7/2/2021","1","53"
"439023","0xafa6f7a00e089059db60268ad230af5e311c440c","","7/2/2021","1","41"
"439024","0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781","","7/2/2021","1","33"
"439025","0x83111e1888c1e49e8703e248edeaa34ef868a1de","","7/2/2021","1","26"
"439026","0x7cfa1563db3c8495efb869a2858e236a8ccf8ca2","","7/2/2021","1","10"
"439027","0x0b0e6e7235d67e35ea8d736766088a28c1985afc","","7/2/2021","1","17"
"439028","0x5078a4fa33e5c8bfa0209c9aa5aa529e45e9d003","","7/2/2021","1","18"
"439029","0x6f00ad0238e20646e3b4e87dc9c8319649156834","","7/2/2021","1","13"
"439030","0x288f3d3df1c719176f0f6e5549c2a3928d27d1c1","","7/2/2021","1","10"
"439031","0x93798c48d02a7398ee123ad99fdb5efd2a9337a1","","7/2/2021","1","9"
"439032","0xcdbb43a1bacb5fe29ff895c7f79dc9dd0d536f71","","7/2/2021","1","34"
"439033","0xcabc8491816d5fa9f141c722fd8a08f2fd538333","","7/2/2021","1","17"
"439034","0x9999999e2f76ed42e6b1a4eefd0fd472790fa1a5","","7/2/2021","1","5"
"439035","0x3839acf1ee7699d1f46b1be840d8ad8317fdf757","","7/2/2021","1","19"
"439036","0x6f1b12a415e035eebdc8559130ea8bdb96add48c","","7/2/2021","1","46"
"439037","0x500f736f569b801e12cbdd5d8116ea0717512520","","7/2/2021","1","16"
"439038","0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8","","7/2/2021","1","11"
"439039","0x6fadd14635ced43a8c2eaf11894d2771524ac2c2","","7/2/2021","1","40"
"439040","0xd2f91edd7dd5388737552d18d99555313dcd78e0","","7/2/2021","1","17"
"439041","0xa9eb52b347bc76f95745a92dd1e1c3986bcb1e2c","","7/2/2021","1","22"
"439042","0x18035bb5dcff413940151cea396c7ab230072e0b","","7/2/2021","1","12"
"439043","0x0f1d41cc51e97dc9d0cad80dc681777eed3675e3","","7/2/2021","1","26"
"439044","0x1cc214f8e3a9977c0019bab3ef8103db50c0ccf9","","7/2/2021","1","22"
"439045","0xb871d6b530ee3c21e8b098bc99f39bff5c0dcf32","","7/2/2021","1","9"
"439046","0xedd049c56b804bcdbf7e704cc312491e3d50485a","","7/2/2021","1","17"
"439047","0x11d0b9058104247be40744b1e5a708fc0ae8f7cc","","7/2/2021","1","16"
"439048","0x9daaad3989d9d3149a8620a8ef8ca5db2cddfc38","","7/2/2021","1","8"
"439049","0xf712f6fdc2f0385041e6ad2f73774d7cd8f2b278","","7/2/2021","1","13"
"439050","0x6222cedf294390d754c10065b31117d856b22ad5","","7/2/2021","1","9"
"439051","0x044cd5f498ddbf0ea854ab4bc96110756b26de97","","7/2/2021","1","16"
"439052","0x3f31bde678303320f19a677b8ed2a4a0739daca7","","7/2/2021","1","11"
"439053","0x73641ee05a9d6a8a23d3188ea13b690a078eac05","","7/2/2021","1","19"
"439054","0x910176d294afa2cd017928ca92a0bf5a01152194","","7/2/2021","1","19"
"439055","0x0bc962c4c7f91f9cc31e5a4b06cee3e7ff88ccc8","","7/2/2021","1","13"
"439056","0xd38474f72d96f550b8c6fc3f1afaeb90a12f2ee0","","7/2/2021","1","3"
"439058","0x95bd75d85c9e9f205d3d6edf3496f8b6864090ab","","7/2/2021","1","13"
"439059","0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2","","7/2/2021","1","10"
"439060","0xfdf0eade0c4ba947999e7885b60099985347ee7a","","7/2/2021","1","17"
"439061","0x622b9ee601a434e32d52dcdb70391fed7b2fc4a6","","7/2/2021","1","10"
"439062","0xeba9717a3341e5750be43256c91ae068fdb01a27","","7/2/2021","1","14"
"439063","0xe4f97647ea9328b0e5d03c9907fac7951ad78c65","","7/2/2021","1","12"
"439064","0xba47dd26cbe21467d74b5be182f039b502563ffb","","7/2/2021","1","3"
"439065","0x23db246031fd6f4e81b0814e9c1dc0901a18da2d","","7/2/2021","1","40"
"439066","0x338f603755412f64eab9a3fe9d2873e0d8c536d8","","7/2/2021","1","12"
"439067","0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d","","7/2/2021","1","8"
"439068","0x50017fc607da965b6dd12f61c8a6560dfe2df927","","7/2/2021","1","21"
"439069","0x403383c411c0eb14ea0bd15e7c2ad5431a7410c2","","7/2/2021","1","18"
