interval_start_timestamp,discovery_joins,invites,vanity_joins
2021-06-07T00:00:00+00:00,0,263,60
2021-06-14T00:00:00+00:00,0,229,122
2021-06-21T00:00:00+00:00,5,181,70
2021-06-28T00:00:00+00:00,0,200,38
2021-07-05T00:00:00+00:00,0,168,159
2021-07-12T00:00:00+00:00,0,155,138
2021-07-19T00:00:00+00:00,0,173,198
2021-07-26T00:00:00+00:00,0,147,192
2021-08-02T00:00:00+00:00,3,99,354
2021-08-09T00:00:00+00:00,0,140,84
2021-08-16T00:00:00+00:00,0,157,146
2021-08-23T00:00:00+00:00,1,255,259
2021-08-30T00:00:00+00:00,1,170,274
2021-09-06T00:00:00+00:00,1,278,206
2021-09-13T00:00:00+00:00,5,362,819
2021-09-20T00:00:00+00:00,6,949,514
