id,coord_id,recipient_id,sender_id,tokens,new_timestamp
0,4376,483,471,20,2021-06-16 00:10:09
1,4377,502,471,20,2021-06-16 00:10:09
2,4378,526,471,5,2021-06-16 00:10:09
3,4379,535,471,5,2021-06-16 00:10:09
4,4380,559,471,5,2021-06-16 00:10:09
5,4381,591,471,2,2021-06-16 00:10:09
6,4382,593,471,6,2021-06-16 00:10:09
7,4383,605,471,6,2021-06-16 00:10:09
8,4384,609,471,2,2021-06-16 00:10:09
9,4385,650,471,2,2021-06-16 00:10:09
10,4386,658,471,20,2021-06-16 00:10:09
11,4387,683,471,6,2021-06-16 00:10:09
12,4388,483,593,8,2021-06-16 00:13:30
13,4389,502,593,6,2021-06-16 00:13:30
14,4390,504,593,4,2021-06-16 00:13:30
15,4391,508,593,6,2021-06-16 00:13:30
16,4392,526,593,5,2021-06-16 00:13:30
17,4393,535,593,8,2021-06-16 00:13:30
18,4394,553,593,8,2021-06-16 00:13:30
19,4395,559,593,6,2021-06-16 00:13:30
20,4396,575,593,4,2021-06-16 00:13:30
21,4397,589,593,3,2021-06-16 00:13:30
22,4398,591,593,4,2021-06-16 00:13:30
23,4399,601,593,2,2021-06-16 00:13:30
24,4400,605,593,8,2021-06-16 00:13:30
25,4401,609,593,4,2021-06-16 00:13:30
26,4402,630,593,4,2021-06-16 00:13:30
27,4403,658,593,4,2021-06-16 00:13:30
28,4404,683,593,4,2021-06-16 00:13:30
29,4405,684,593,5,2021-06-16 00:13:30
30,4406,760,593,3,2021-06-16 00:13:30
31,4407,766,593,4,2021-06-16 00:13:30
32,4408,483,504,7,2021-06-16 00:15:24
33,4409,502,504,7,2021-06-16 00:15:24
34,4410,508,504,5,2021-06-16 00:15:24
35,4411,526,504,5,2021-06-16 00:15:24
36,4412,535,504,7,2021-06-16 00:15:24
37,4413,544,504,5,2021-06-16 00:15:24
38,4414,559,504,4,2021-06-16 00:15:24
39,4415,567,504,5,2021-06-16 00:15:24
40,4416,593,504,7,2021-06-16 00:15:24
41,4417,605,504,6,2021-06-16 00:15:24
42,4418,658,504,7,2021-06-16 00:15:24
43,4419,632,504,5,2021-06-16 00:15:24
44,4420,483,768,10,2021-06-16 00:29:12
45,4421,502,768,10,2021-06-16 00:29:12
46,4422,559,768,10,2021-06-16 00:29:12
47,4423,593,768,10,2021-06-16 00:29:12
48,4424,605,768,10,2021-06-16 00:29:12
49,4425,766,768,10,2021-06-16 00:29:12
50,4496,483,471,15,2021-06-17 00:04:40
51,4497,502,471,15,2021-06-17 00:04:40
52,4498,526,471,5,2021-06-17 00:04:40
53,4499,535,471,2,2021-06-17 00:04:40
54,4500,559,471,5,2021-06-17 00:04:40
55,4501,591,471,5,2021-06-17 00:04:40
56,4502,593,471,10,2021-06-17 00:04:40
57,4503,605,471,7,2021-06-17 00:04:40
58,4504,609,471,4,2021-06-17 00:04:40
59,4505,650,471,3,2021-06-17 00:04:40
60,4506,658,471,10,2021-06-17 00:04:40
61,4507,683,471,7,2021-06-17 00:04:40
62,4508,504,471,1,2021-06-17 00:04:40
63,4509,567,471,4,2021-06-17 00:04:40
64,4510,630,471,2,2021-06-17 00:04:40
65,4511,771,471,5,2021-06-17 00:04:40
66,4512,483,504,8,2021-06-17 00:05:57
67,4513,502,504,8,2021-06-17 00:05:57
68,4514,508,504,2,2021-06-17 00:05:57
69,4515,518,504,5,2021-06-17 00:05:57
70,4516,526,504,3,2021-06-17 00:05:57
71,4517,535,504,5,2021-06-17 00:05:57
72,4518,559,504,3,2021-06-17 00:05:57
73,4519,567,504,3,2021-06-17 00:05:57
74,4520,593,504,8,2021-06-17 00:05:57
75,4521,605,504,5,2021-06-17 00:05:57
76,4522,658,504,8,2021-06-17 00:05:57
77,4523,632,504,5,2021-06-17 00:05:57
78,4524,767,504,3,2021-06-17 00:05:57
79,4525,483,650,10,2021-06-17 00:06:15
80,4526,499,650,4,2021-06-17 00:06:15
81,4527,502,650,10,2021-06-17 00:06:15
82,4528,505,650,4,2021-06-17 00:06:15
83,4529,508,650,4,2021-06-17 00:06:15
84,4530,518,650,4,2021-06-17 00:06:15
85,4531,592,650,4,2021-06-17 00:06:15
86,4532,593,650,4,2021-06-17 00:06:15
87,4533,605,650,4,2021-06-17 00:06:15
88,4534,609,650,4,2021-06-17 00:06:15
89,4535,630,650,4,2021-06-17 00:06:15
90,4536,658,650,4,2021-06-17 00:06:15
91,4537,683,650,4,2021-06-17 00:06:15
92,4538,760,650,4,2021-06-17 00:06:15
93,4539,553,650,4,2021-06-17 00:06:15
94,4540,535,650,4,2021-06-17 00:06:15
95,4541,746,650,4,2021-06-17 00:07:15
96,4542,589,504,4,2021-06-17 00:08:39
97,4543,771,504,1,2021-06-17 00:08:40
98,4544,559,650,4,2021-06-17 00:10:48
99,4545,645,650,4,2021-06-17 00:10:48
100,4546,767,650,4,2021-06-17 00:10:48
101,4547,771,650,4,2021-06-17 00:10:48
102,4548,483,783,10,2021-06-17 00:18:18
103,4549,508,783,5,2021-06-17 00:18:18
104,4550,553,783,10,2021-06-17 00:18:18
105,4551,575,783,20,2021-06-17 00:18:18
106,4552,593,783,10,2021-06-17 00:18:18
107,4553,605,783,5,2021-06-17 00:18:18
108,4554,630,783,5,2021-06-17 00:18:18
109,4555,645,783,10,2021-06-17 00:18:18
110,4556,658,783,5,2021-06-17 00:18:18
111,4557,684,783,10,2021-06-17 00:18:18
112,4558,763,783,5,2021-06-17 00:18:18
113,4559,502,557,100,2021-06-17 00:19:28
114,4560,483,519,15,2021-06-17 00:25:53
115,4561,502,519,15,2021-06-17 00:25:53
116,4562,518,519,7,2021-06-17 00:25:53
117,4563,609,519,7,2021-06-17 00:25:53
118,4564,650,519,7,2021-06-17 00:25:53
119,4565,746,519,7,2021-06-17 00:25:53
120,4566,483,742,20,2021-06-17 00:26:17
121,4567,499,742,10,2021-06-17 00:26:17
122,4568,502,742,20,2021-06-17 00:26:17
123,4569,535,742,40,2021-06-17 00:26:17
124,4570,518,742,10,2021-06-17 00:26:17
125,4571,483,592,8,2021-06-17 00:26:34
126,4572,499,592,8,2021-06-17 00:26:34
127,4573,505,592,3,2021-06-17 00:26:34
128,4574,508,592,8,2021-06-17 00:26:34
129,4575,593,592,3,2021-06-17 00:26:34
130,4576,630,592,14,2021-06-17 00:26:34
131,4577,632,592,3,2021-06-17 00:26:34
132,4578,650,592,14,2021-06-17 00:26:34
133,4579,683,592,3,2021-06-17 00:26:34
134,4580,760,592,15,2021-06-17 00:26:34
