interval_start_timestamp,discovery_joins,invites,vanity_joins
2021-09-06T00:00:00+00:00,1,278,206
2021-09-13T00:00:00+00:00,5,362,819
2021-09-20T00:00:00+00:00,6,949,514
2021-09-27T00:00:00+00:00,2,448,596
2021-10-04T00:00:00+00:00,0,302,437
2021-10-11T00:00:00+00:00,0,170,498
2021-10-18T00:00:00+00:00,0,271,835
2021-10-25T00:00:00+00:00,0,278,519
2021-11-01T00:00:00+00:00,2,483,465
2021-11-08T00:00:00+00:00,0,502,692
2021-11-15T00:00:00+00:00,1,432,533
2021-11-22T00:00:00+00:00,39,310,725
2021-11-29T00:00:00+00:00,100,270,571
2021-12-06T00:00:00+00:00,538,0,1079
2021-12-13T00:00:00+00:00,380,0,873
2021-12-20T00:00:00+00:00,23,156,1082
