interval_start_timestamp,days_in_guild,leavers
2021-09-06T00:00:00+00:00,'Members for 1 month+',46
2021-09-06T00:00:00+00:00,'Members for < 1 month',72
2021-09-13T00:00:00+00:00,'Members for 1 month+',67
2021-09-13T00:00:00+00:00,'Members for < 1 month',127
2021-09-20T00:00:00+00:00,'Members for 1 month+',57
2021-09-20T00:00:00+00:00,'Members for < 1 month',164
2021-09-27T00:00:00+00:00,'Members for 1 month+',61
2021-09-27T00:00:00+00:00,'Members for < 1 month',208
2021-10-04T00:00:00+00:00,'Members for 1 month+',83
2021-10-04T00:00:00+00:00,'Members for < 1 month',151
2021-10-11T00:00:00+00:00,'Members for 1 month+',99
2021-10-11T00:00:00+00:00,'Members for < 1 month',115
2021-10-18T00:00:00+00:00,'Members for 1 month+',92
2021-10-18T00:00:00+00:00,'Members for < 1 month',240
2021-10-25T00:00:00+00:00,'Members for 1 month+',88
2021-10-25T00:00:00+00:00,'Members for < 1 month',118
2021-11-01T00:00:00+00:00,'Members for 1 month+',109
2021-11-01T00:00:00+00:00,'Members for < 1 month',95
2021-11-08T00:00:00+00:00,'Members for 1 month+',85
2021-11-08T00:00:00+00:00,'Members for < 1 month',109
2021-11-15T00:00:00+00:00,'Members for 1 month+',79
2021-11-15T00:00:00+00:00,'Members for < 1 month',155
2021-11-22T00:00:00+00:00,'Members for 1 month+',90
2021-11-22T00:00:00+00:00,'Members for < 1 month',124
2021-11-29T00:00:00+00:00,'Members for 1 month+',104
2021-11-29T00:00:00+00:00,'Members for < 1 month',122
2021-12-06T00:00:00+00:00,'Members for 1 month+',118
2021-12-06T00:00:00+00:00,'Members for < 1 month',129
2021-12-13T00:00:00+00:00,'Members for 1 month+',95
2021-12-13T00:00:00+00:00,'Members for < 1 month',95
2021-12-20T00:00:00+00:00,'Members for 1 month+',98
2021-12-20T00:00:00+00:00,'Members for < 1 month',254
