interval_start_timestamp,total_membership
2021-09-06T00:00:00+00:00,7476
2021-09-13T00:00:00+00:00,8120
2021-09-20T00:00:00+00:00,9173
2021-09-27T00:00:00+00:00,10220
2021-10-04T00:00:00+00:00,10758
2021-10-11T00:00:00+00:00,11221
2021-10-18T00:00:00+00:00,11722
2021-10-25T00:00:00+00:00,12431
2021-11-01T00:00:00+00:00,13042
2021-11-08T00:00:00+00:00,13697
2021-11-15T00:00:00+00:00,14575
2021-11-22T00:00:00+00:00,15186
2021-11-29T00:00:00+00:00,15640
2021-12-06T00:00:00+00:00,15887
2021-12-13T00:00:00+00:00,16262
2021-12-20T00:00:00+00:00,16678
