interval_start_timestamp,speaking_minutes
2021-09-06T00:00:00+00:00,5413
2021-09-13T00:00:00+00:00,5788
2021-09-20T00:00:00+00:00,6346
2021-09-27T00:00:00+00:00,4999
2021-10-04T00:00:00+00:00,5125
2021-10-11T00:00:00+00:00,5981
2021-10-18T00:00:00+00:00,7548
2021-10-25T00:00:00+00:00,8160
2021-11-01T00:00:00+00:00,10219
2021-11-08T00:00:00+00:00,12230
2021-11-15T00:00:00+00:00,11069
2021-11-22T00:00:00+00:00,8124
2021-11-29T00:00:00+00:00,9596
2021-12-06T00:00:00+00:00,11567
2021-12-13T00:00:00+00:00,11046
2021-12-20T00:00:00+00:00,7270
