direction,from_address,readable,entity_type,amount_display,timestamp_display,to_address,human_readable
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,660000.00000,2021-08-11 21:28:57,0x8a3dae25c39b114a0b86e4e7900cb3c29bd8f637,BountyBoard
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 16:43:23,0xe2d721c126150beee3c56a1ad71a2e0e29a411f0,A/V Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,80000.00000,2021-08-17 23:55:00,0xe2d721c126150beee3c56a1ad71a2e0e29a411f0,A/V Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,1100000.00000,2021-08-11 21:28:57,0xf80cd14ec747b2adf7b1a9911b38c65a885daeea,Bankless Academy
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-25 22:00:32,0x28861eeec6ab073a36cc299ef8186978893e21ff,Analytics Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,570000.00000,2021-08-11 21:28:57,0x735ff6f197b0dc18ebee127dd918d2111eaf8220,Degen
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,340000.00000,2021-08-11 21:28:57,0xdbd8072cd342a100992fa8c04e784f70e404c721,Bankless Loans
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-19 19:40:11,0xe7636c7ef670a3bcf772d9d57244c9e88ad90437,Writers Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 17:20:12,0x623a12ca60d378705fd170a47b6d32c74367501d,Devs Guild Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 17:23:01,0x045a805c83c1d4c9e5a0bdcc5a27efa73d2a3c0b,Translators Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,90000.00000,2021-10-01 09:26:59,0x045a805c83c1d4c9e5a0bdcc5a27efa73d2a3c0b,Translators Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 17:28:00,0x31016ffcebff16c20e74a8610f1650dcb5c01df3,Treasury Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-19 19:41:13,0x47f238ef7f6b9e4f8452d77228b101f7c0419733,Ops Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-25 21:59:05,0x8a771e2874b1e8a38cb08ebcb6e1058d27fa64c0,Design Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-08-03 20:17:57,0x2b00fdf9aadafee22cf56eb59ba367f6acd0ce10,Research Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 17:02:49,0xe5a64fc0d3396d11eb63d728791577e254ac18ca,Marketing Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,100000.00000,2021-08-11 21:28:57,0xe5a64fc0d3396d11eb63d728791577e254ac18ca,Marketing Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,305000.00000,2021-08-11 21:28:57,0x53105ad20960a842e082c60ef243c8c3c49bf518,First Quest
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,232000.00000,2021-08-11 21:28:57,0xca22f929aa5dbe2db2d0305d31604fe0dfd386b5,Bankless Website Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,340000.00000,2021-08-11 21:28:57,0xdbd8072cd342a100992fa8c04e784f70e404c721,Liquity Project Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,997273.00000,2021-10-07 17:58:47,0x4e9a76b83f54fc06b133e5e23988785570ee77d4,S1 Coordinape
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,100000.00000,2021-08-17 22:16:52,0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,BED Index
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-08-31 21:00:22,0xb40f4ce59da4a0b6d10ae605e10fd4e6ca9ed4ae,BizDev Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,173000.00000,2021-09-15 00:29:08,0x998b56602b91fe56a9d8970192075cea4c89d29a,DAO Punks
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,15000.00000,2021-09-23 14:46:49,0x998b56602b91fe56a9d8970192075cea4c89d29a,DAO Punks
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,336000.00000,2021-10-01 09:26:59,0x909060af124ff0975cf37e5753d977e1008a048d,Crypto Sapiens
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 16:53:49,0x984ec14dc726b75ca3eb6a94c64d165d37ea823e,Legal Guild
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,384615.38462,2021-07-15 16:50:03,0xcf8422021b408b32983b525778ce45420715f094,Education Guild Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,100000.00000,2021-08-24 20:38:04,0xad886459640bb990351e69252f9da686a050a168,DevOps Infrastructure Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,155000.00000,2021-09-08 03:15:11,0xe153d04de63f8d1b9a3f80b92371f772640a2d97,Balancer Multisig
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x00418b8ea6c6e2d5676f651bf76a368adb845e91,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0xec5c6732b79214ba8b26777e49e8e6391a237c5c,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x5c647ca5e2bc5bd17c40410fcb8003d38879ae50,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0xe93fb6784e7cec8fb8d283a70295df714f3c0db7,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0x4f58bc39476aa9e5be7127c9ea80a7da917578d9,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0xd0ba5b118ef208e505380c4e68609650e8d66a6a,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x0ba1a18d9642a2feec055d901fcbb204037abb39,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,44.00000,2021-10-06 22:03:27,0x4a9a3815060c3bd08fb4d44c9e74513874771b0c,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0xde1b62535e31561c78ba20e49053f2dbcff4b9cd,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0xc344f940332d3aa76e4f20d7352aaf086480111f,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x48c3932347586d9354553c3a4ee76858e34d0cac,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0x6f00ad0238e20646e3b4e87dc9c8319649156834,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,44.00000,2021-10-06 22:03:27,0x3136043b0a2278569fcac322b7accf1395281b8f,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x6c4de74f5752960e991d7bf580fde2cfc5e2ca59,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x310cb8e87ae277133e6d5c17670bbd60ffa19e35,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0xbe2909813f6f850af99c8b968febf6eb884f1454,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,15000.00000,2021-09-29 21:40:56,0xdfdf2d882d9ebce6c7eac3da9ab66cbfda263781,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,44.00000,2021-10-06 22:03:27,0xcc0dc0a1d51bb8a8a593fd9a4a2eea1e7b688c39,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0xe68593fbd0838398b413606f2e8099474b97da86,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0x18d8646530dabe8f93b89282af161fae03896638,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x1dfd753d0b19b3f0c36a2a80808cfb98afffa290,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0xe701636b4b84497331af2881dac1c459f7ec9e4f,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x1fbdbcbdd69971d7742ba2cd317d6caf830116a4,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x304eb9063fa42bd7841dc7cd6644b12385caa891,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x6874850a6d8e9ca6689996337e2f849597985614,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x067c0487d514959342f1dcf84c66ffc360c8f4f0,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,13000.00000,2021-08-24 20:35:11,0x31562d5959b37e39702c0f94d06ef155489d9359,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x4fbfadf58cf32e7c616ed09d74318fe30c7071d4,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0x43aa3766c89437b017406f4ded420a8d72e1f5e5,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x3b1c2244c69dcff316f25ed89590c0513ef85735,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x465f189d082f999c47e5e5aea9c05ab78f39a77d,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x4eb172821b5bc013269c4f6f6204f092d44197ec,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x0dc655094b8fbdb2419fa813826f546ea37020a5,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0xc0afc8fb125c293b2df655146365e278ff959982,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,22082.00000,2021-09-27 06:30:48,0x809e84e36538731c2c47fea6f071f601bc1042f5,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0xc00fc2775cce5b61ffd6ec1eec0de0119f25dc87,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,25000.00000,2021-09-23 14:48:25,0xb90b3ce30fa58351f1fd19a6114ef287b169e6ec,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0xf2e33dce287f164e1e3f0a8916ff511042dd7f79,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x45b8be1f65d8943580ed9cdb30865d2033beb5e7,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0xfbed5277e524113df313f9f6b29fde8677f4e936,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x3f9b01f7f79dd83a0d1006dc666c78de3efe9cb9,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x201e6710f39611807bb8ec840f8c252f6c16c71e,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,44.00000,2021-10-06 22:03:27,0x80fd264d44712fef8771675cea1bf24656c6b37c,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0x2f6f552ef1462035452a74d94cc0a970083a863f,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,33.00000,2021-10-06 22:03:27,0x44278bdb69b2209461ff04289dec7f9d8c05c014,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,49.00000,2021-10-06 22:03:27,0x261da13b0be750eefa444d5e6da384a4021ff5f5,
Out,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee,Grants Committee,38.00000,2021-10-06 22:03:27,0xa89f778740c6562daac0fa1e09f48e0283a39611,
