direction,from_address,readable,entity_type,amount_display,timestamp_display,to_address,human_readable
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,A/V Guild,Guild Multisig,606233.00000,2021-10-18 16:53:18,0xe2d721c126150beee3c56a1ad71a2e0e29a411f0,A/V Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Bankless Academy,Project Multisig,1340000.00000,2021-10-18 16:53:18,0xf80cd14ec747b2adf7b1a9911b38c65a885daeea,Bankless Academy
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Analytics Guild,Guild Multisig,592400.00000,2021-10-18 16:53:18,0x28861eeec6ab073a36cc299ef8186978893e21ff,Analytics Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Degen,Project Multisig,1334000.00000,2021-10-18 16:53:18,0x735ff6f197b0dc18ebee127dd918d2111eaf8220,Degen
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Liquity Project Multisig,Project Multisig,194000.00000,2021-10-18 16:53:18,0xdbd8072cd342a100992fa8c04e784f70e404c721,Bankless Loans
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Bankless Loans,Project Multisig,194000.00000,2021-10-18 16:53:18,0xdbd8072cd342a100992fa8c04e784f70e404c721,Bankless Loans
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,NewsletterTeam,Project Multisig,357000.00000,2021-10-18 16:53:18,0xfedcba83379eb70e94c28d3837fe2f70e8284d12,NewsletterTeam
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Writers Guild,Guild Multisig,302000.00000,2021-10-18 16:53:18,0xe7636c7ef670a3bcf772d9d57244c9e88ad90437,Writers Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Grants Committee,Grants Committee,10923000.00000,2021-10-18 16:53:18,0x12bd9048b419838e25046040dcd297ab16850280,Grants Committee
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Devs Guild Multisig,Guild Multisig,420000.00000,2021-10-18 16:53:18,0x623a12ca60d378705fd170a47b6d32c74367501d,Devs Guild Multisig
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Translators Guild,Guild Multisig,434000.00000,2021-10-18 16:53:18,0x045a805c83c1d4c9e5a0bdcc5a27efa73d2a3c0b,Translators Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Treasury Guild,Guild Multisig,286385.00000,2021-10-18 16:53:18,0x31016ffcebff16c20e74a8610f1650dcb5c01df3,Treasury Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Ops Guild,Guild Multisig,520000.00000,2021-10-18 16:53:18,0x47f238ef7f6b9e4f8452d77228b101f7c0419733,Ops Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Design Guild,Guild Multisig,490000.00000,2021-10-18 16:53:18,0x8a771e2874b1e8a38cb08ebcb6e1058d27fa64c0,Design Guild
In,0xf26d1bb347a59f6c283c53156519cc1b1abaca51,Research Guild,Guild Multisig,118385.00000,2021-10-18 16:53:18,0x2b00fdf9aadafee22cf56eb59ba367f6acd0ce10,Research Guild
