,0
0,Community Manager
1,Community Manager
2,Community Manager
3,Community Manager
4, UI/UX Designer
5,Community Manager
6,Community Manager
7, Twitter Meme Lord
8,Community Manager
9, Translator - Chinese
10,Community Manager
11,Community Manager
12,Community Manager
13,Community Manager
14, Translator - Portuguese
15,Community Manager
16,Creative (e.g.
17, graphic design or NFT creation)
18, Translator - Korean
19,Community Manager
20,Twitter Meme Lord
21,Twitter Meme Lord
22,Twitter Meme Lord
23,Twitter Meme Lord
24,Writer
25,Writer
26,Writer
27,Writer
28,Writer
29,Writer
30,Writer
31,Writer
32,Data Analytics
33, Writer
34,Writer
35,Research Analyst
36,Research Analyst
37,Research Analyst
38,Product Management
39,Product Management
40,Frontend Dev
41,Frontend Dev
42,Frontend Dev
43,Frontend Dev
44,Frontend Dev
45,Ethereum Dev
46, Frontend Dev
47,Backend Dev
48, Frontend Dev
49,Creative (e.g.
50, graphic design or NFT creation)
51,Creative (e.g.
52, graphic design or NFT creation)
53,Creative (e.g.
54, graphic design or NFT creation)
55,Backend Dev
56, Ethereum Dev
57,Government and Regulatory Affairs
58,Government and Regulatory Affairs
59,Data Analytics
60, Translator - Spanish
61,Translator - Spanish
62,Translator - Spanish
63,Translator - Vietnamese
64,Data Analytics
65, Writer
66,Community Manager
67, Product Management
68, Research Analyst
69, Writer
70, Marketing
71,Data Analytics
72, Research Analyst
73, Business Development - DAOs
74,Security & Ops Management
75,Grateful Participant
76,Translator - Italian
77,Translator french (important for France and French Canada)
78,Translator - Italian
79,Frontend Dev
80, Product Management
81,Product Management
82, Translator - italian
83,Product Management
84,Government and Regulatory Affairs
85, Product Management
86,Data Analytics
87, Research Analyst
88,Translator - Spanish
89, Writer
90, Strategy
91, Business Development
92, Investor Relations 
93,Translator - Spanish
94, Writer
95,Research Analyst
96,Backend Dev
97, Ethereum Dev
98, Frontend Dev
99, Writer
100,Creative (e.g.
101, graphic design or NFT creation)
102, Research Analyst
103, Translator - German
104,Research Analyst
105, Translator - Spanish
106, Writer
107,puedo entrar solo para aprender?
108,Community Manager
109, Creative (e.g.
110, graphic design or NFT creation)
111, Twitter Meme Lord
112, UI/UX Designer
113,Backend Dev
114, Ethereum Dev
115,Data Analytics
116, Research Analyst
117, Translator - Spanish
118,Creative (e.g.
119, graphic design or NFT creation)
120,Translator - Spanish
121,Creative (e.g.
122, graphic design or NFT creation)
123, Tester. Integrations Headhunter. 
124,Editor
125,Community Manager
126, Product Management
127, Writer
128,Backend Dev
129, Data Analytics
130, Translator - Vietnamese
131,Community Manager
132, Creative (e.g.
133, graphic design or NFT creation)
134,Creative (e.g.
135, graphic design or NFT creation)
136, UI/UX Designer
137, Musician
138,Translator - Chinese
139,open to recommendations on how I can help
140,Research Analyst
141, Writer
142,Creative (e.g.
143, graphic design or NFT creation)
144, UI/UX Designer
145, Musician
146, Strategist
147,Backend Dev
148, Research Analyst
149, Translator - Spanish
150,Creative (e.g.
151, graphic design or NFT creation)
152, Twitter Meme Lord
153,Creative (e.g.
154, graphic design or NFT creation)
155, Product Management
156, UI/UX Designer
157,Product Management
158, Translator - Spanish
159,Data Analytics
160,Community Manager
161, Data Analytics
162, Translator Arabic
163,Community Manager
164, Marketer  My influencer 
165,Research Analyst
166, Translator - Chinese
167,Translator - Spanish
168,Product Management
169,Community Manager
170, Translator - Chinese
171,Translator - French
172,Research Analyst
173, Writer
174, Management consultant currently; willing to help on all things strategy
175,Translator - Spanish
176, Writer
177, Traslator italian 
178,Chinese Channel Manager
179,Community Manager
180, Team coordinator 
181,Product Management
182, UI/UX Designer
183,Backend Dev
184, Data Analytics
185, Ethereum Dev
186, Product Management
187, Research Analyst
188,Writer
189,Community Manager
190, Government and Regulatory Affairs
191, Product Management
192, Research Analyst
193,Research Analyst
194, Russian translator
195,Audio & Video Editing. Audio restoration or enhancement etc.
196,Backend Dev
197, Community Manager
198, Ethereum Dev
199, Frontend Dev
200, Research Analyst
201, Writer
202,Community Manager
203, Research Analyst
204, Writer
205,Data Analytics
